Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description
nissan,patrol,2023,137465,174225,SUV,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2023 nissan patrol with Adaptive cruise control, Rear camera, Navigation system, Sunroof. Condition: Accident history."
porsche,cayenne,2024,150636,97771,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2024 porsche cayenne with Adaptive cruise control, Leather seats, Bluetooth. Condition: Repainted bumper."
ford,mustang,2022,103895,75420,Sports Car,8,Automatic Transmission,Gasoline,Blue, Dubai,"2022 ford mustang with Bluetooth, Sunroof, Adaptive cruise control, Navigation system. Condition: Repainted bumper."
ford,f-series-pickup,2020,141891,58968,Pick Up Truck,8,Automatic Transmission,Gasoline,Grey, Dubai,"2020 ford f-series-pickup with Adaptive cruise control, Sunroof, Navigation system. Condition: Dented door."
bmw,x5,2021,380171,251303,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2021 bmw x5 with Bluetooth, Rear camera, Leather seats, Navigation system. Condition: No damage."
toyota,prado,2020,42967,129113,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2020 toyota prado with Rear camera, Sunroof, Adaptive cruise control. Condition: Minor scratches."
benz,e-class,2024,44547,282640,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2024 mercedes-benz e-class with Rear camera, Leather seats. Condition: Minor scratches."
porsche,cayenne,2024,48087,98711,Crossover,6,Automatic Transmission,Gasoline,Grey, Dubai,"2024 porsche cayenne with Rear camera, Leather seats, Sunroof. Condition: Accident history."
porsche,carrera,2021,155638,37477,Coupe,6,Automatic Transmission,Gasoline,Silver, Dubai,"2021 porsche carrera with Sunroof, Rear camera, Bluetooth. Condition: Minor scratches."
ford,mustang,2020,72193,111243,Soft Top Convertible,4,Automatic Transmission,Gasoline,Silver, Dubai,"2020 ford mustang with Sunroof, Navigation system, Adaptive cruise control, Bluetooth. Condition: Accident history."
land-rover,range-rover-sport,2020,647500,163830,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2020 land-rover range-rover-sport with Rear camera, Leather seats, Adaptive cruise control, Sunroof. Condition: Minor scratches."
nissan,sunny,2024,26195,117827,Sedan,4,Automatic Transmission,Gasoline,White, Abu Dhabi,"2024 nissan sunny with Bluetooth, Rear camera. Condition: Repainted bumper."
nissan,patrol,2024,80246,114079,SUV,8,Automatic Transmission,Gasoline,Grey,Al Ain,"2024 nissan patrol with Sunroof, Adaptive cruise control, Leather seats, Navigation system. Condition: Engine repaired."
benz,m-class,2021,68548,27248,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 mercedes-benz m-class with Rear camera, Sunroof, Leather seats. Condition: Accident history."
land-rover,defender,2021,220970,174024,Crossover,4,Manual Transmission,Gasoline,Black, Dubai,"2021 land-rover defender with Rear camera, Navigation system, Bluetooth, Leather seats. Condition: Minor scratches."
toyota,land-cruiser,2024,408243,233153,SUV,6,Automatic Transmission,Gasoline,White, Sharjah,"2024 toyota land-cruiser with Sunroof, Navigation system, Leather seats. Condition: No damage."
ford,f-series-pickup,2024,228384,289207,Pick Up Truck,6,Automatic Transmission,Hybrid,Black, Dubai,"2024 ford f-series-pickup with Navigation system, Bluetooth, Sunroof. Condition: Minor scratches."
toyota,aurion,2020,40031,125134,Sedan,6,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2020 toyota aurion with Navigation system, Leather seats, Rear camera. Condition: Repainted bumper."
porsche,cayenne,2020,473488,69805,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2020 porsche cayenne with Bluetooth, Leather seats. Condition: Dented door."
benz,gl-class,2024,97427,17531,SUV,8,Automatic Transmission,Gasoline,Gold, Sharjah,"2024 mercedes-benz gl-class with Leather seats, Sunroof. Condition: Dented door."
land-rover,range-rover,2020,223059,110164,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2020 land-rover range-rover with Navigation system, Rear camera. Condition: Minor scratches."
bmw,x5,2020,87728,156503,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2020 bmw x5 with Sunroof, Rear camera, Adaptive cruise control. Condition: Accident history."
ford,edge,2021,41366,202245,SUV,6,Automatic Transmission,Gasoline,Brown, Abu Dhabi,"2021 ford edge with Adaptive cruise control, Sunroof, Navigation system. Condition: Dented door."
benz,gle-class,2024,138895,240824,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2024 mercedes-benz gle-class with Adaptive cruise control, Navigation system. Condition: No damage."
land-rover,range-rover-sport,2021,63602,145529,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2021 land-rover range-rover-sport with Leather seats, Sunroof. Condition: Accident history."
toyota,highlander,2021,160278,107652,SUV,6,Automatic Transmission,Gasoline,Red, Sharjah,"2021 toyota highlander with Adaptive cruise control, Rear camera, Bluetooth. Condition: No damage."
benz,c-class,2021,275324,208926,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2021 mercedes-benz c-class with Rear camera, Leather seats, Sunroof, Bluetooth. Condition: No damage."
land-rover,range-rover,2022,190988,71100,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2022 land-rover range-rover with Rear camera, Adaptive cruise control, Bluetooth. Condition: Minor scratches."
nissan,patrol,2024,173005,38929,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2024 nissan patrol with Leather seats, Rear camera, Sunroof, Navigation system. Condition: Dented door."
benz,e-class,2024,236572,138622,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai,"2024 mercedes-benz e-class with Leather seats, Rear camera, Bluetooth, Sunroof. Condition: Dented door."
benz,e-class,2023,586897,71999,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2023 mercedes-benz e-class with Navigation system, Leather seats, Adaptive cruise control, Bluetooth. Condition: Dented door."
land-rover,range-rover-sport,2021,81058,233699,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 land-rover range-rover-sport with Leather seats, Sunroof, Bluetooth, Rear camera. Condition: Dented door."
land-rover,range-rover-sport,2020,130864,214794,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2020 land-rover range-rover-sport with Leather seats, Navigation system. Condition: Accident history."
toyota,land-cruiser,2021,106090,29809,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2021 toyota land-cruiser with Rear camera, Navigation system. Condition: Accident history."
benz,gl-class,2021,114468,29194,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 mercedes-benz gl-class with Sunroof, Adaptive cruise control, Bluetooth, Leather seats. Condition: Minor scratches."
toyota,land-cruiser,2023,389891,156397,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2023 toyota land-cruiser with Adaptive cruise control, Sunroof, Navigation system. Condition: Repainted bumper."
bmw,5-series,2021,20830,45008,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2021 bmw 5-series with Navigation system, Adaptive cruise control. Condition: Engine repaired."
benz,s-class,2024,34282,78954,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2024 mercedes-benz s-class with Adaptive cruise control, Rear camera, Sunroof, Navigation system. Condition: Minor scratches."
bmw,x6,2023,237877,35466,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2023 bmw x6 with Bluetooth, Rear camera. Condition: Repainted bumper."
nissan,patrol,2024,195987,255939,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2024 nissan patrol with Rear camera, Navigation system. Condition: Minor scratches."
porsche,panamera,2023,172343,158792,Sedan,6,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2023 porsche panamera with Adaptive cruise control, Sunroof. Condition: Minor scratches."
benz,s-class,2023,50962,268466,Sedan,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2023 mercedes-benz s-class with Leather seats, Rear camera, Sunroof. Condition: Engine repaired."
nissan,patrol,2022,342209,238303,SUV,8,Automatic Transmission,Gasoline,Beige, Dubai,"2022 nissan patrol with Adaptive cruise control, Leather seats, Sunroof. Condition: Engine repaired."
land-rover,range-rover-velar,2022,263976,129824,SUV,6,Automatic Transmission,Diesel,Black, Dubai,"2022 land-rover range-rover-velar with Bluetooth, Sunroof, Leather seats. Condition: Minor scratches."
nissan,kicks,2024,57095,37838,SUV,4,Automatic Transmission,Gasoline,Red, Dubai,"2024 nissan kicks with Sunroof, Navigation system, Leather seats. Condition: Minor scratches."
toyota,prado,2021,81341,99762,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2021 toyota prado with Bluetooth, Leather seats, Rear camera. Condition: Dented door."
nissan,patrol,2020,72045,270297,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2020 nissan patrol with Bluetooth, Sunroof, Navigation system. Condition: Accident history."
toyota,land-cruiser,2021,72825,145819,SUV,6,Automatic Transmission,Gasoline,Gold, Sharjah,"2021 toyota land-cruiser with Bluetooth, Rear camera, Adaptive cruise control. Condition: No damage."
benz,g-class,2021,961529,137906,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 mercedes-benz g-class with Bluetooth, Navigation system, Adaptive cruise control. Condition: Accident history."
land-rover,range-rover-evoque,2023,150865,94724,Soft Top Convertible,4,Automatic Transmission,Gasoline,Black, Dubai,"2023 land-rover range-rover-evoque with Adaptive cruise control, Rear camera, Sunroof, Bluetooth. Condition: Dented door."
benz,e-class,2024,427651,218402,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 mercedes-benz e-class with Navigation system, Leather seats. Condition: Repainted bumper."
toyota,land-cruiser,2021,23156,166582,Sedan,6,Automatic Transmission,Gasoline,White, Sharjah,"2021 toyota land-cruiser with Adaptive cruise control, Bluetooth, Navigation system. Condition: Dented door."
nissan,patrol,2022,72113,202028,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai,"2022 nissan patrol with Leather seats, Sunroof, Navigation system, Rear camera. Condition: No damage."
ford,edge,2023,18767,164285,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2023 ford edge with Rear camera, Navigation system. Condition: Accident history."
bmw,2-series,2021,129631,291357,Soft Top Convertible,4,Automatic Transmission,Gasoline,White, Dubai,"2021 bmw 2-series with Rear camera, Leather seats. Condition: Minor scratches."
toyota,camry,2021,33189,180434,Sedan,4,Automatic Transmission,Gasoline,Grey, Sharjah,"2021 toyota camry with Navigation system, Sunroof. Condition: Minor scratches."
porsche,panamera,2024,445342,47785,Sedan,6,Automatic Transmission,Gasoline,Brown, Dubai,"2024 porsche panamera with Adaptive cruise control, Navigation system, Bluetooth. Condition: No damage."
benz,s-class,2020,133385,250530,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2020 mercedes-benz s-class with Rear camera, Adaptive cruise control, Navigation system. Condition: Minor scratches."
toyota,land-cruiser,2024,212295,88483,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah,"2024 toyota land-cruiser with Adaptive cruise control, Bluetooth, Navigation system, Rear camera. Condition: Accident history."
bmw,7-series,2021,96890,163328,Sedan,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2021 bmw 7-series with Rear camera, Navigation system. Condition: Minor scratches."
benz,c-class,2023,101091,74672,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2023 mercedes-benz c-class with Navigation system, Bluetooth, Adaptive cruise control, Sunroof. Condition: Accident history."
benz,c-class-coupe,2023,97569,104553,Coupe,4,Automatic Transmission,Gasoline,White, Dubai,"2023 mercedes-benz c-class-coupe with Navigation system, Leather seats, Bluetooth. Condition: Repainted bumper."
nissan,patrol,2024,133271,63527,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2024 nissan patrol with Bluetooth, Rear camera, Sunroof. Condition: Repainted bumper."
benz,s-class-coupe,2020,387339,159949,Coupe,8,Automatic Transmission,Gasoline,White, Dubai,"2020 mercedes-benz s-class-coupe with Leather seats, Rear camera, Bluetooth, Navigation system. Condition: Minor scratches."
nissan,patrol,2020,75807,91427,SUV,8,Automatic Transmission,Gasoline,Brown, Dubai,"2020 nissan patrol with Rear camera, Adaptive cruise control, Navigation system, Leather seats. Condition: No damage."
toyota,land-cruiser,2024,264424,125734,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2024 toyota land-cruiser with Bluetooth, Sunroof, Leather seats, Adaptive cruise control. Condition: No damage."
porsche,macan,2022,205773,97938,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2022 porsche macan with Navigation system, Leather seats, Bluetooth, Sunroof. Condition: Repainted bumper."
bmw,x5,2023,103160,287420,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2023 bmw x5 with Adaptive cruise control, Leather seats, Navigation system, Sunroof. Condition: Engine repaired."
benz,s-class,2023,664738,283611,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2023 mercedes-benz s-class with Adaptive cruise control, Bluetooth, Rear camera, Sunroof. Condition: Accident history."
nissan,x-trail,2021,74852,227496,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2021 nissan x-trail with Bluetooth, Adaptive cruise control, Sunroof. Condition: Minor scratches."
toyota,hilux,2023,125328,192189,Pick Up Truck,4,Automatic Transmission,Gasoline,White, Dubai,"2023 toyota hilux with Adaptive cruise control, Leather seats, Sunroof. Condition: Dented door."
toyota,land-cruiser,2020,27147,28561,SUV,8,Manual Transmission,Gasoline,White, Dubai,"2020 toyota land-cruiser with Navigation system, Rear camera, Adaptive cruise control. Condition: Dented door."
bmw,7-series,2022,409011,60001,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2022 bmw 7-series with Rear camera, Sunroof. Condition: Accident history."
nissan,pathfinder,2021,16911,264805,SUV,6,Automatic Transmission,Gasoline,Burgundy, Dubai,"2021 nissan pathfinder with Adaptive cruise control, Sunroof, Rear camera. Condition: Engine repaired."
land-rover,range-rover-sport,2024,251891,53738,SUV,8,Automatic Transmission,Gasoline,Red, Dubai,"2024 land-rover range-rover-sport with Adaptive cruise control, Rear camera, Navigation system. Condition: Dented door."
benz,gla,2021,111295,148766,Hatchback,4,Automatic Transmission,Gasoline,Black, Dubai,"2021 mercedes-benz gla with Navigation system, Sunroof, Bluetooth, Rear camera. Condition: Dented door."
benz,m-class,2022,90782,31273,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 mercedes-benz m-class with Sunroof, Leather seats, Bluetooth, Rear camera. Condition: Engine repaired."
ford,expedition,2021,40195,104642,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 ford expedition with Sunroof, Navigation system. Condition: Repainted bumper."
toyota,hilux,2021,41786,170013,Pick Up Truck,4,Manual Transmission,Gasoline,White, Sharjah,"2021 toyota hilux with Adaptive cruise control, Bluetooth. Condition: Dented door."
benz,gle-class,2021,264260,75753,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 mercedes-benz gle-class with Rear camera, Leather seats. Condition: Dented door."
benz,c-class,2022,372692,122485,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2022 mercedes-benz c-class with Rear camera, Sunroof, Adaptive cruise control, Bluetooth. Condition: Engine repaired."
porsche,cayman,2020,122989,182688,Coupe,6,Automatic Transmission,Gasoline,Grey, Dubai,"2020 porsche cayman with Navigation system, Rear camera. Condition: Minor scratches."
benz,c-class,2024,24612,163994,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2024 mercedes-benz c-class with Leather seats, Navigation system, Bluetooth, Rear camera. Condition: Accident history."
ford,f-series-pickup,2020,230478,188727,Pick Up Truck,6,Automatic Transmission,Gasoline,Black, Dubai,"2020 ford f-series-pickup with Bluetooth, Rear camera. Condition: No damage."
land-rover,range-rover,2020,619653,242479,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2020 land-rover range-rover with Adaptive cruise control, Bluetooth, Rear camera, Navigation system. Condition: Dented door."
ford,mustang,2024,153648,218259,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 ford mustang with Navigation system, Rear camera, Leather seats, Sunroof. Condition: Dented door."
toyota,yaris,2022,17600,217381,Sedan,4,Automatic Transmission,Gasoline,Black, Sharjah,"2022 toyota yaris with Leather seats, Sunroof. Condition: Accident history."
benz,r-class,2021,56244,170402,Hatchback,6,Automatic Transmission,Gasoline,White, Dubai,"2021 mercedes-benz r-class with Leather seats, Rear camera, Adaptive cruise control, Bluetooth. Condition: Dented door."
benz,gls-class,2024,1367393,206602,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai,"2024 mercedes-benz gls-class with Navigation system, Rear camera. Condition: Minor scratches."
toyota,prado,2023,91211,106053,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2023 toyota prado with Bluetooth, Navigation system. Condition: Engine repaired."
toyota,yaris,2022,15644,180711,Hatchback,4,Automatic Transmission,Gasoline,Grey, Dubai,"2022 toyota yaris with Rear camera, Adaptive cruise control, Navigation system, Leather seats. Condition: Repainted bumper."
toyota,land-cruiser,2021,93799,284628,SUV,6,Automatic Transmission,Gasoline,Red, Dubai,"2021 toyota land-cruiser with Adaptive cruise control, Leather seats, Navigation system. Condition: Accident history."
bmw,3-series,2022,50511,241575,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2022 bmw 3-series with Bluetooth, Adaptive cruise control, Leather seats. Condition: Minor scratches."
toyota,hilux,2022,86390,220321,Pick Up Truck,4,Automatic Transmission,Gasoline,White, Dubai,"2022 toyota hilux with Sunroof, Rear camera, Navigation system, Bluetooth. Condition: Accident history."
nissan,altima,2021,67529,204480,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2021 nissan altima with Sunroof, Rear camera. Condition: Repainted bumper."
ford,ranger,2021,152878,71726,Pick Up Truck,4,Automatic Transmission,Gasoline,Black, Dubai,"2021 ford ranger with Adaptive cruise control, Bluetooth, Navigation system, Sunroof. Condition: Minor scratches."
benz,e-class,2022,69390,163172,Sedan,6,Automatic Transmission,Gasoline,Brown, Dubai,"2022 mercedes-benz e-class with Leather seats, Navigation system. Condition: Engine repaired."
land-rover,lr2,2020,37716,144631,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2020 land-rover lr2 with Sunroof, Leather seats, Rear camera. Condition: Dented door."
nissan,patrol,2021,80857,122259,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2021 nissan patrol with Rear camera, Bluetooth, Sunroof. Condition: Dented door."
benz,eqa,2022,197610,190367,SUV,,Automatic Transmission,Electric,Black, Dubai,"2022 mercedes-benz eqa with Sunroof, Bluetooth, Adaptive cruise control, Rear camera. Condition: Minor scratches."
bmw,x5,2021,148314,21160,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 bmw x5 with Adaptive cruise control, Leather seats, Bluetooth, Sunroof. Condition: No damage."
toyota,land-cruiser,2024,123157,175609,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2024 toyota land-cruiser with Sunroof, Adaptive cruise control. Condition: Dented door."
nissan,murano,2022,9353,185001,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2022 nissan murano with Navigation system, Leather seats. Condition: Accident history."
land-rover,range-rover-velar,2024,297975,73060,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2024 land-rover range-rover-velar with Bluetooth, Leather seats. Condition: Repainted bumper."
benz,glc,2022,236927,138192,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz glc with Bluetooth, Adaptive cruise control. Condition: Minor scratches."
benz,e-class,2021,183848,246724,Sedan,6,Automatic Transmission,Gasoline,Red, Dubai,"2021 mercedes-benz e-class with Bluetooth, Navigation system. Condition: Engine repaired."
nissan,patrol,2023,59185,13256,SUV,8,Automatic Transmission,Gasoline,White, Sharjah,"2023 nissan patrol with Bluetooth, Navigation system. Condition: No damage."
bmw,3-series,2022,17139,125335,Soft Top Convertible,6,Automatic Transmission,Gasoline,Blue, Dubai,"2022 bmw 3-series with Leather seats, Navigation system, Sunroof. Condition: No damage."
porsche,carrera,2022,306385,206831,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2022 porsche carrera with Navigation system, Bluetooth, Adaptive cruise control, Leather seats. Condition: Accident history."
toyota,land-cruiser,2024,168806,226211,Pick Up Truck,6,Manual Transmission,Gasoline,Beige, Dubai,"2024 toyota land-cruiser with Sunroof, Navigation system, Rear camera, Adaptive cruise control. Condition: Minor scratches."
benz,s-class,2024,60838,279393,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2024 mercedes-benz s-class with Navigation system, Sunroof, Bluetooth. Condition: Dented door."
porsche,cayenne,2022,70600,244689,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2022 porsche cayenne with Adaptive cruise control, Rear camera, Bluetooth. Condition: Engine repaired."
toyota,camry,2023,149355,92818,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2023 toyota camry with Navigation system, Sunroof. Condition: No damage."
benz,e-class,2022,95128,175391,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz e-class with Rear camera, Navigation system. Condition: No damage."
nissan,patrol,2024,46710,240348,SUV,6,Manual Transmission,Gasoline,Gold, Dubai,"2024 nissan patrol with Navigation system, Adaptive cruise control, Rear camera. Condition: Minor scratches."
bmw,6-series,2021,192217,245178,Sedan,6,Automatic Transmission,Gasoline,Blue, Dubai,"2021 bmw 6-series with Leather seats, Adaptive cruise control. Condition: Dented door."
benz,c-class,2024,31306,77035,Sedan,6,Automatic Transmission,Gasoline,White, Sharjah,"2024 mercedes-benz c-class with Bluetooth, Navigation system. Condition: Repainted bumper."
toyota,rush,2022,54241,291202,SUV,4,Automatic Transmission,Gasoline,Brown, Dubai,"2022 toyota rush with Bluetooth, Adaptive cruise control. Condition: Repainted bumper."
nissan,maxima,2020,66967,242890,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2020 nissan maxima with Adaptive cruise control, Rear camera, Navigation system, Sunroof. Condition: Dented door."
nissan,sunny,2022,24511,228399,Sedan,3,Automatic Transmission,Gasoline,White, Dubai,"2022 nissan sunny with Rear camera, Sunroof, Leather seats, Bluetooth. Condition: Dented door."
land-rover,range-rover,2020,194702,246744,Crossover,8,Automatic Transmission,Gasoline,White, Dubai,"2020 land-rover range-rover with Sunroof, Rear camera, Adaptive cruise control. Condition: Engine repaired."
ford,ranger,2021,56758,54390,Pick Up Truck,4,Manual Transmission,Gasoline,White, Dubai,"2021 ford ranger with Sunroof, Leather seats, Rear camera. Condition: Engine repaired."
ford,ecosport,2023,27186,218815,SUV,4,Automatic Transmission,Gasoline,White, Sharjah,"2023 ford ecosport with Bluetooth, Adaptive cruise control, Rear camera. Condition: Minor scratches."
land-rover,range-rover,2024,678836,237947,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2024 land-rover range-rover with Leather seats, Sunroof. Condition: No damage."
benz,g-class,2022,251051,14470,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 mercedes-benz g-class with Bluetooth, Leather seats. Condition: No damage."
benz,gt,2020,611485,244875,Coupe,8,Automatic Transmission,Gasoline,White, Sharjah,"2020 mercedes-benz gt with Leather seats, Sunroof, Rear camera, Navigation system. Condition: Engine repaired."
porsche,carrera,2021,489896,25506,Coupe,6,Automatic Transmission,Gasoline,Silver, Abu Dhabi,"2021 porsche carrera with Leather seats, Adaptive cruise control, Rear camera. Condition: Repainted bumper."
land-rover,defender,2022,732489,263883,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 land-rover defender with Rear camera, Sunroof, Navigation system, Adaptive cruise control. Condition: Accident history."
nissan,patrol,2022,126007,162464,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2022 nissan patrol with Adaptive cruise control, Rear camera, Navigation system. Condition: Repainted bumper."
toyota,86,2024,81987,131352,Coupe,4,Automatic Transmission,Gasoline,Other Color, Dubai,"2024 toyota 86 with Rear camera, Adaptive cruise control. Condition: Accident history."
benz,g-class,2022,222221,217419,SUV,8,Automatic Transmission,Gasoline,White, Sharjah,"2022 mercedes-benz g-class with Leather seats, Navigation system. Condition: Accident history."
nissan,maxima,2020,111524,11499,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai,"2020 nissan maxima with Sunroof, Adaptive cruise control, Navigation system. Condition: Accident history."
nissan,patrol,2024,300645,15012,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2024 nissan patrol with Rear camera, Bluetooth, Sunroof. Condition: Dented door."
ford,explorer,2022,82403,153663,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2022 ford explorer with Sunroof, Leather seats, Navigation system, Rear camera. Condition: Dented door."
benz,g-class,2020,371120,67368,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2020 mercedes-benz g-class with Bluetooth, Adaptive cruise control, Navigation system. Condition: No damage."
toyota,corolla,2021,48178,191665,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2021 toyota corolla with Rear camera, Bluetooth, Adaptive cruise control, Sunroof. Condition: No damage."
toyota,86,2020,54294,103414,Coupe,4,Automatic Transmission,Diesel,White, Dubai,"2020 toyota 86 with Bluetooth, Navigation system. Condition: Repainted bumper."
land-rover,range-rover-sport,2022,221981,252651,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 land-rover range-rover-sport with Leather seats, Rear camera. Condition: Engine repaired."
benz,g-class,2021,1093793,100404,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2021 mercedes-benz g-class with Sunroof, Adaptive cruise control. Condition: Repainted bumper."
benz,gla,2020,94728,169779,SUV,4,Automatic Transmission,Gasoline,White, Sharjah,"2020 mercedes-benz gla with Sunroof, Adaptive cruise control. Condition: Engine repaired."
bmw,7-series,2021,51734,288974,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2021 bmw 7-series with Rear camera, Bluetooth, Leather seats. Condition: Repainted bumper."
benz,e-class,2022,294464,37810,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai,"2022 mercedes-benz e-class with Bluetooth, Leather seats, Rear camera. Condition: Engine repaired."
bmw,7-series,2021,407660,150271,Sedan,8,Automatic Transmission,Gasoline,Silver, Abu Dhabi,"2021 bmw 7-series with Adaptive cruise control, Navigation system, Rear camera. Condition: Dented door."
benz,glc,2023,201455,231737,SUV,4,Automatic Transmission,Hybrid,White, Dubai,"2023 mercedes-benz glc with Bluetooth, Leather seats. Condition: Engine repaired."
porsche,cayenne,2024,242658,118902,Other,6,Automatic Transmission,Gasoline,Black, Dubai,"2024 porsche cayenne with Rear camera, Sunroof. Condition: Minor scratches."
nissan,armada,2022,44748,191291,SUV,8,Automatic Transmission,Gasoline,Brown, Abu Dhabi,"2022 nissan armada with Bluetooth, Navigation system. Condition: Minor scratches."
porsche,panamera,2022,63974,156634,Sedan,8,Automatic Transmission,Gasoline,White, Sharjah,"2022 porsche panamera with Adaptive cruise control, Bluetooth, Leather seats, Sunroof. Condition: Minor scratches."
toyota,sienna,2021,25052,190870,Van,6,Automatic Transmission,Gasoline,Red, Dubai,"2021 toyota sienna with Navigation system, Sunroof, Bluetooth. Condition: Repainted bumper."
benz,glc,2024,207022,107732,Crossover,4,Automatic Transmission,Gasoline,Grey, Dubai,"2024 mercedes-benz glc with Sunroof, Leather seats, Bluetooth. Condition: Repainted bumper."
toyota,sienna,2024,28948,202047,Other,6,Automatic Transmission,Gasoline,Grey, Sharjah,"2024 toyota sienna with Sunroof, Adaptive cruise control. Condition: No damage."
ford,edge,2021,76770,225303,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2021 ford edge with Adaptive cruise control, Sunroof, Leather seats. Condition: Minor scratches."
land-rover,range-rover-velar,2022,244019,286398,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2022 land-rover range-rover-velar with Leather seats, Rear camera, Sunroof, Navigation system. Condition: No damage."
